"住所CD","都道府県CD","市区町村CD","町域CD","郵便番号","事業所フラグ","廃止フラグ","都道府県","都道府県カナ","市区町村","市区町村カナ","町域","町域カナ","町域補足","京都通り名","字丁目","字丁目カナ","補足","事業所名","事業所名カナ","事業所住所","新住所CD"
400000000,19,19201,192010000,"400-0000",0,0,"山梨県","ヤマナシケン","甲府市","コウフシ",,"　","（該当なし）",,,,,,,,
400085800,19,19201,192010001,"400-0858",0,0,"山梨県","ヤマナシケン","甲府市","コウフシ","相生","アイオイ",,,,,,,,,
400851200,19,19201,192010001,"400-8512",1,0,"山梨県","ヤマナシケン","甲府市","コウフシ","相生","アイオイ",,,,,,"甲府商工会議所","コウフシヨウコウカイギシヨ","相生２丁目２−１７",
400086700,19,19201,192010002,"400-0867",0,0,"山梨県","ヤマナシケン","甲府市","コウフシ","青沼","アオヌマ",,,,,,,,,
400082800,19,19201,192010003,"400-0828",0,0,"山梨県","ヤマナシケン","甲府市","コウフシ","青葉町","アオバチョウ",,,,,,,,,
400086200,19,19201,192010004,"400-0862",0,0,"山梨県","ヤマナシケン","甲府市","コウフシ","朝気","アサケ",,,,,,,,,
400002500,19,19201,192010005,"400-0025",0,0,"山梨県","ヤマナシケン","甲府市","コウフシ","朝日","アサヒ",,,,,,,,,
400002300,19,19201,192010006,"400-0023",0,0,"山梨県","ヤマナシケン","甲府市","コウフシ","愛宕町","アタゴマチ",,,,,,,,,
400006100,19,19201,192010007,"400-0061",0,0,"山梨県","ヤマナシケン","甲府市","コウフシ","荒川","アラカワ",,,,,,,,,
400003500,19,19201,192010008,"400-0035",0,0,"山梨県","ヤマナシケン","甲府市","コウフシ","飯田","イイダ",,,,,,,,,
400858800,19,19201,192010008,"400-8588",1,0,"山梨県","ヤマナシケン","甲府市","コウフシ","飯田","イイダ",,,,,,"長田組土木　株式会社","オサダグミドボク　（カブ","飯田４丁目１０番２７号",
400121700,19,19201,192010009,"400-1217",0,0,"山梨県","ヤマナシケン","甲府市","コウフシ","猪狩町","イカリチョウ",,,,,,,,,
400006200,19,19201,192010010,"400-0062",0,0,"山梨県","ヤマナシケン","甲府市","コウフシ","池田","イケダ",,,,,,,,,
400085600,19,19201,192010011,"400-0856",0,0,"山梨県","ヤマナシケン","甲府市","コウフシ","伊勢","イセ",,,,,,,,,
400001300,19,19201,192010012,"400-0013",0,0,"山梨県","ヤマナシケン","甲府市","コウフシ","岩窪町","イワクボチョウ",,,,,,,,,
400004500,19,19201,192010013,"400-0045",0,0,"山梨県","ヤマナシケン","甲府市","コウフシ","後屋町","ウシロヤチョウ",,,,,,,,,
400150400,19,19201,192010014,"400-1504",0,0,"山梨県","ヤマナシケン","甲府市","コウフシ","右左口町","ウバグチチョウ",,,,,,,,,
400005300,19,19201,192010015,"400-0053",0,0,"山梨県","ヤマナシケン","甲府市","コウフシ","大里町","オオサトチョウ",,,,,,,,,
400086500,19,19201,192010016,"400-0865",0,0,"山梨県","ヤマナシケン","甲府市","コウフシ","太田町","オオタマチ",,,,,,,,,
400854300,19,19201,192010016,"400-8543",1,0,"山梨県","ヤマナシケン","甲府市","コウフシ","太田町","オオタマチ",,,,,,"中北保険福祉事務所","チユウホクホケンフクシジムシヨ","太田町９−１",
400005500,19,19201,192010017,"400-0055",0,0,"山梨県","ヤマナシケン","甲府市","コウフシ","大津町","オオツマチ",,,,,,,,,
400001500,19,19201,192010018,"400-0015",0,0,"山梨県","ヤマナシケン","甲府市","コウフシ","大手","オオテ",,,,,,,,,
400083400,19,19201,192010019,"400-0834",0,0,"山梨県","ヤマナシケン","甲府市","コウフシ","落合町","オチアイチョウ",,,,,,,,,
400002800,19,19201,192010020,"400-0028",0,0,"山梨県","ヤマナシケン","甲府市","コウフシ","音羽町","オトワチョウ",,,,,,,,,
400084100,19,19201,192010021,"400-0841",0,0,"山梨県","ヤマナシケン","甲府市","コウフシ","小曲町","オマガリチョウ",,,,,,,,,
409371100,19,19201,192010022,"409-3711",0,0,"山梨県","ヤマナシケン","甲府市","コウフシ","梯町","カケハシマチ",,,,,,,,,
400006300,19,19201,192010023,"400-0063",0,0,"山梨県","ヤマナシケン","甲府市","コウフシ","金竹町","カネタケチョウ",,,,,,,,,
400081400,19,19201,192010024,"400-0814",0,0,"山梨県","ヤマナシケン","甲府市","コウフシ","上阿原町","カミアハラマチ",,,,,,,,,
400004100,19,19201,192010025,"400-0041",1,0,"山梨県","ヤマナシケン","甲府市","コウフシ","上石田","カミイシダ","町域補足確認","京都通り名確認","字丁目確認","アザチョウメカナカクニン","補足確認","事業所名確認","ジギョウショカナカクニン","事業所住所確認","new_code_001"
